hospital,asn_name,asn
ACMH Hospital,ACMH-HOSPITAL,AS46881
CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CENTER,CVPHMC,AS46901
SWEDISH MEDICAL CENTER,SWEDISH-MEDICAL-CENTER-SHS,AS46991
Sacred Heart Hospital,SHH-SJH,AS47015
"THE GOOD SAMARITAN HOSPITAL OF LEBANON, PENNSYLVANIA",NETWORK-ENGINEER,AS47058
York Hospital,YORKHOSPITAL,AS47059
Glens Falls Hospital,GLENSFALLSHOSPITAL,AS47068
Saint Francis Hospital and Medical Center,SAINT-FRANCIS-HOSPITAL-AND-MEDICAL-CENTER,AS47072
Heartland Regional Medical Center,HEARTLAND-HEALTH,AS47078
"Intermountain Health Care, Inc.",SCLHS-47090,AS47090
Mercy Medical Center,MSC-AS,AS53262
Northwestern Memorial Hospital,NMH,AS53269
The Toledo Hospital,PROMEDICA,AS53280
WakeMed,WAKEMED,AS53317
Henry Ford Health System,HFHS-ASN,AS53352
Hutchinson Regional Medical Center,PROMISE-REGIONAL-MEDICAL-CENTER---HUTCHINSON-INC,AS53383
United Hospital Center,UHC-4,AS53452
Kadlec Regional Medical Center,KADLEC-REGIONAL-MEDICAL-CENTER,AS53462
CalvertHealth Medical Center,CALVERTHOSP,AS53576
Rady Children's Hospital - San Diego,RADY-CHILDRENS-HOSPITAL-SAN-DIEGO,AS53621
"Finger Lakes Regional Health System, Inc.",FINGER-LAKES-HEALTH,AS53656
Evangelical Community Hospital,ECH-AS,AS53718
Houlton Regional Hospital,HRH-ASN,AS53742
University Medical Center of Southern Nevada,UMCSN-AS,AS53748
Southern New Hampshire Health System,SNHHS,AS53784
Miami Children's Hospital,MCH,AS53796
Texas Tech University Health Sciences Center at El Paso,TTUHSC-ELP,AS53809
Alameda Health System,ACMC-AS,AS53825
"Baycare Health System, Inc.",BAYCARE-HEALTH-SYSTEM,AS53858
Sarasota Memorial Hospital,SMH-AS-NO,AS53937
Henry Mayo Newhall Memorial Hospital,HMNMH,AS53946
Concord Hospital - Laconia,CHL-350-53963,AS53963
Wellstar Health System,AS-WELLSTAR,AS53984
NewYork-Presbyterian Hospital,NYDH,AS54011
Memorial Hermann Health System,MHHS-AS,AS54063
"White Wilson Medical Center, P.A.",WWMCASN,AS54091
"Oklahoma Heart Hospital, LLC",OKLAHOMA-HEART-HOSPITAL,AS54131
BROADLAWNS MEDICAL CENTER,BMC-LE,AS54150
Marin General Hospital,MGH-ION-1,AS54169
ST JOSEPH HOSPITAL,SJH-BANGOR-AS1,AS54181
Citizens Medical Center,CMCVICTX,AS54195
Comanche County Memorial Hospital,CCMH-AS1,AS54214
"Capital Health System, Inc",CAPITALHEALTH,AS54268
Maimonides Medical Center,MMC-AS-NOV2011,AS54323
"NORTHEASTERN VERMONT REGIONAL HOSPITAL, INC.",NVRH,AS54331
Children's Hospital Medical Center of Akron,CHMCA,AS54468
Androscoggin Valley Hospital,AVH,AS54471
Aspen Valley Hospital,ASPEN-VALLEY-HOSPITAL,AS54493
Milford Regional Medical Center Inc.,MRMC,AS54515
LUCILE SALTER PACKARD CHILDREN'S HOSPITAL AT STANFORD,LPCH-PA,AS54531
