agency_id,agency,sub_agency,authorized_products,reused_products,in_process_products,sponsored_atos,reported_authorizations,reported_reuses,website,source_last_change
22-012-02,Department of Housing and Urban Development - HUD Office of Inspector General,HUD Office of Inspector General,11,0,0,0,11,14,,2026-09-23
22-021,Department of Justice,,21,111,1,4,22,0,https://www.justice.gov/,2026-09-23
22-021-13,Department of Justice - Antitrust Division,Antitrust Division,4,0,0,0,4,15,,2026-09-23
22-021-04,"Department of Justice - Bureau of Alcohol, Tobacco, Firearms and Explosives","Bureau of Alcohol, Tobacco, Firearms and Explosives",20,0,0,2,21,27,,2026-09-23
22-021-14,Department of Justice - Civil Division,Civil Division,2,0,0,0,2,6,,2026-09-23
22-021-10,Department of Justice - Civil Rights Division,Civil Rights Division,1,0,0,0,1,5,,2026-09-23
22-021-09,Department of Justice - DOJ Office of the Inspector General,DOJ Office of the Inspector General,7,0,0,0,7,15,,2026-09-23
22-021-06,Department of Justice - Drug Enforcement Administration,Drug Enforcement Administration,16,0,1,8,16,28,,2026-09-23
22-021-03,Department of Justice - Executive Office for United States Attorneys,Executive Office for United States Attorneys,11,0,0,2,12,18,,2026-09-23
22-021-07,Department of Justice - Federal Bureau of Prisons,Federal Bureau of Prisons,6,0,0,1,6,18,,2026-09-23
22-021-01,Department of Justice - Justice Management Division,Justice Management Division,20,0,0,5,20,0,,2026-09-23
22-021-02,Department of Justice - Office of Justice Programs,Office of Justice Programs,15,0,0,3,16,20,,2026-09-23
22-021-08,Department of Justice - United States Marshals Service,United States Marshals Service,10,0,0,2,10,10,,2026-09-23
22-021-12,Department of Justice - US Trustee Program,US Trustee Program,1,0,0,0,1,0,,2026-09-23
22-061,Department of Labor,,39,56,0,2,43,43,https://www.dol.gov/,2026-09-23
22-061-01,Department of Labor - Bureau of Labor Statistics,Bureau of Labor Statistics,15,0,0,2,15,30,,2026-09-23
22-061-03,Department of Labor - Job Corps,Job Corps,2,0,0,0,2,1,,2026-09-23
22-042,Department of State,,72,87,2,12,74,0,https://www.state.gov/,2026-09-23
22-042-01,Department of State - Bureau of Public Affairs,Bureau of Public Affairs,1,0,0,0,1,0,,2026-09-23
22-042-02,Department of State - State Office of the Inspector General,State Office of the Inspector General,23,0,0,1,25,29,,2026-09-23
22-017,Department of the Interior,,38,124,0,9,48,52,https://www.doi.gov/,2026-09-23
22-017-01,Department of the Interior - Bureau of Indian Affairs,Bureau of Indian Affairs,6,0,0,0,6,8,,2026-09-23
22-017-10,Department of the Interior - Bureau of Indian Education,Bureau of Indian Education,2,0,0,0,2,2,,2026-09-23
22-017-08,Department of the Interior - Bureau of Land Management,Bureau of Land Management,3,0,0,0,3,10,,2026-09-23
22-017-11,Department of the Interior - Bureau of Reclamation,Bureau of Reclamation,4,0,0,0,6,4,,2026-09-23
22-017-06,Department of the Interior - Bureau of Safety and Environmental Enforcement,Bureau of Safety and Environmental Enforcement,7,0,0,0,7,14,,2026-09-23
22-017-07,Department of the Interior - Bureau of Trust Funds Administration,Bureau of Trust Funds Administration,4,0,0,1,4,2,,2026-09-23
22-017-13,Department of the Interior - Department of the Interior Office of the Inspector General,Department of the Interior Office of the Inspector General,1,0,0,0,1,2,,2026-09-23
22-017-12,Department of the Interior - Interior Business Center,Interior Business Center,11,0,0,0,12,16,,2026-09-23
22-017-04,Department of the Interior - National Park Service,National Park Service,7,0,0,0,7,3,,2026-09-23
22-017-15,"Department of the Interior - Office of Diversity, Inclusion, and Civil Rights","Office of Diversity, Inclusion, and Civil Rights",0,0,0,0,1,0,,2026-09-23
22-017-05,Department of the Interior - Office of Natural Resources Revenue,Office of Natural Resources Revenue,7,0,0,1,8,5,,2026-09-23
22-017-14,Department of the Interior - Office of Surface Mining and Reclamation Enforcement,Office of Surface Mining and Reclamation Enforcement,2,0,0,0,3,0,,2026-09-23
22-017-02,Department of the Interior - United States Geological Survey,United States Geological Survey,14,0,0,0,16,24,,2026-09-23
22-017-03,Department of the Interior - US Fish and Wildlife Service,US Fish and Wildlife Service,14,0,0,3,14,16,,2026-09-23
22-027,Department of the Treasury,,27,189,0,7,30,0,https://home.treasury.gov/,2026-09-23
22-027-05,Department of the Treasury - Alcohol and Tobacco Tax and Trade Bureau,Alcohol and Tobacco Tax and Trade Bureau,10,0,0,1,10,0,,2026-09-23
22-027-06,Department of the Treasury - Bureau of Engraving and Printing,Bureau of Engraving and Printing,13,0,0,0,13,25,,2026-09-23
22-027-03,Department of the Treasury - Bureau of the Fiscal Service,Bureau of the Fiscal Service,14,0,0,1,15,15,,2026-09-23
22-027-08,Department of the Treasury - Financial Crimes Enforcement Network,Financial Crimes Enforcement Network,2,0,0,0,4,0,https://www.fincen.gov/,2026-09-23
22-027-01,Department of the Treasury - Internal Revenue Service,Internal Revenue Service,56,0,2,4,78,0,,2026-09-23
22-027-07,Department of the Treasury - Office of Financial Research,Office of Financial Research,24,0,0,1,24,35,,2026-09-23
22-027-02,Department of the Treasury - Office of the Comptroller of the Currency,Office of the Comptroller of the Currency,19,0,0,3,19,24,,2026-09-23
22-027-09,Department of the Treasury - Treasury Inspector General for Tax Administration,Treasury Inspector General for Tax Administration,9,0,0,0,9,20,,2026-09-23
22-027-04,Department of the Treasury - United States Mint,United States Mint,4,0,0,0,4,4,,2026-09-23
22-014,Department of Transportation,,19,61,0,2,20,47,https://www.transportation.gov/,2026-09-23
22-014-02,Department of Transportation - Federal Aviation Administration,Federal Aviation Administration,41,0,0,5,42,40,,2026-09-23
22-014-05,Department of Transportation - Federal Highway Administration,Federal Highway Administration,7,0,0,3,7,13,,2026-09-23
22-014-03,Department of Transportation - Federal Railroad Administration,Federal Railroad Administration,1,0,0,1,1,0,,2026-09-23
22-014-01,Department of Transportation - Federal Transportation Administration,Federal Transportation Administration,1,0,0,1,1,2,,2026-09-23
22-014-04,Department of Transportation - Office of the Secretary of Transportation,Office of the Secretary of Transportation,1,0,0,0,1,2,,2026-09-23
22-014-06,Department of Transportation - Pipeline and Hazardous Materials Safety Administration,Pipeline and Hazardous Materials Safety Administration,1,0,0,0,1,7,,2026-09-23
22-036,Department of Veterans Affairs,,127,73,8,64,128,67,https://www.va.gov/,2026-09-23
22-036-01,Department of Veterans Affairs - VA Office of the Inspector General,VA Office of the Inspector General,8,0,0,0,9,17,,2026-09-23
22-015,Environmental Protection Agency,,34,34,0,4,37,44,https://www.epa.gov/,2026-09-23
22-015-01,Environmental Protection Agency - Office of Environmental Justice and External Civil Rights,Office of Environmental Justice and External Civil Rights,1,0,0,0,1,4,,2026-09-23
22-080,Export-Import Bank of the United States,,5,5,0,0,5,19,https://www.exim.gov/,2026-09-23
22-035,Farm Credit Administration,,9,9,0,1,10,18,https://www.fca.gov/,2026-09-23
22-018,Federal Communications Commission,,24,13,0,11,24,29,https://www.fcc.gov/,2026-09-23
22-032,Federal Deposit Insurance Corporation,,57,54,0,5,59,47,https://www.fdic.gov/,2026-09-23
22-043,Federal Election Commission,,3,2,0,1,3,7,https://www.fec.gov/,2026-09-23
22-031,Federal Housing Finance Agency,,23,44,0,3,23,36,https://www.fhfa.gov/,2026-09-23
22-031-01,Federal Housing Finance Agency - FHFA Office of the Inspector General,FHFA Office of the Inspector General,24,0,0,0,24,25,,2026-09-23
22-091,Federal Maritime Commission,,5,5,0,0,5,13,https://www.fmc.gov/,2026-09-23
22-089,Federal Mediation & Conciliation Service,,1,0,0,1,1,0,https://www.fmcs.gov/,2026-09-23
22-067,Federal Reserve System,,30,28,1,3,31,42,https://www.federalreserve.gov/,2026-09-23
22-070,Federal Retirement Thrift Investment Board,,31,34,0,0,34,34,https://www.frtib.gov/,2026-09-23
22-092,Federal Risk and Authorization Management Program,,31,0,0,31,31,16,https://www.fedramp.gov/,2026-09-23
22-003,Federal Trade Commission,,29,26,1,3,29,31,https://www.ftc.gov/,2026-09-23
22-019,General Services Administration,,66,50,3,25,75,0,https://www.gsa.gov/,2026-09-23
22-085,Government Accountability Office,,1,1,0,0,1,0,https://www.gao.gov/,2026-09-23
22-100,Gulf Coast Ecosystem Restoration Council,,1,1,0,0,1,10,,2026-09-23
22-056,Institute of Museum and Library Services,,1,1,0,0,1,8,https://www.imls.gov/,2026-09-23
22-082,Library of Congress,,12,11,0,1,12,19,https://www.loc.gov/,2026-09-23
22-095,Marine Mammal Commission,,1,0,0,1,1,1,https://www.mmc.gov/,2026-09-23
22-098,Merit Systems Protection Board,,1,0,0,1,1,0,https://www.mspb.gov/,2026-09-23
22-029,Millennium Challenge Corporation,,7,6,0,1,7,6,https://www.mcc.gov/,2026-09-23
22-087,Morris K. Udall and Stewart L. Udall Foundation,,1,1,0,0,1,8,https://udall.gov/,2026-09-23
22-030,National Aeronautics and Space Administration,,33,31,1,2,33,36,https://www.nasa.gov/,2026-09-23
22-010,National Archives and Records Administration,,2,1,0,1,2,3,https://www.archives.gov/,2026-09-23
22-050,National Capital Planning Commission,,5,5,0,0,5,15,https://www.ncpc.gov/,2026-09-23
22-084,National Credit Union Administration,,15,14,0,1,15,23,https://ncua.gov/,2026-09-23
22-068,National Endowment for the Arts,,20,28,0,0,28,36,https://www.arts.gov/,2026-09-23
22-006,National Endowment for the Humanities,,3,3,0,1,4,17,https://www.neh.gov/,2026-09-23
22-063,National Gallery of Art,,3,3,0,0,3,17,https://www.nga.gov/,2026-09-23
22-096,National Guard Bureau,,1,1,0,0,1,4,https://www.nationalguard.mil/,2026-09-23
22-013,National Labor Relations Board,,10,9,0,1,10,25,https://www.nlrb.gov/,2026-09-23
22-074,National Mediation Board,,15,15,0,0,15,34,https://nmb.gov/,2026-09-23
22-025,National Science Foundation,,45,39,1,8,45,45,https://www.nsf.gov/,2026-09-23
22-025-01,National Science Foundation - U.S. Antarctic Program,U.S. Antarctic Program,1,0,0,0,2,2,,2026-09-23
22-073,National Transportation Safety Board,,1,0,0,1,1,1,https://www.ntsb.gov/,2026-09-23
22-023,Nuclear Regulatory Commission,,38,37,0,3,40,37,https://www.nrc.gov/,2026-09-23
22-094,Office of Navajo and Hopi Indian Relocation,,1,1,0,0,1,11,https://www.onhir.gov/,2026-09-23
22-062,Office of Personnel Management,,37,36,0,2,38,50,https://www.opm.gov/,2026-09-23
22-055,Other Federal Entity,,5,10,0,1,5,20,,2026-09-23
22-055-01,Other Federal Entity - Other Executive Branch Subagency,Other Executive Branch Subagency,6,0,0,0,6,16,,2026-09-23
22-046,Peace Corps,,6,5,0,1,6,15,https://www.peacecorps.gov/,2026-09-23
22-039,Pension Benefit Guaranty Corporation,,26,25,0,1,26,29,https://www.pbgc.gov/,2026-09-23
22-079,Postal Regulatory Commission,,2,2,0,1,3,4,https://www.prc.gov/,2026-09-23
22-093,Presidio Trust,,4,4,0,0,4,4,https://presidio.gov/,2026-09-23
22-052,Pretrial Services Agency,,6,7,0,0,7,4,https://www.psa.gov/,2026-09-23
22-004,Railroad Retirement Board,,5,4,0,1,5,7,https://rrb.gov/,2026-09-23
22-040,Small Business Administration,,18,14,0,4,18,31,https://www.sba.gov/,2026-09-23
22-090,Smithsonian Institution,,2,2,0,0,2,9,https://www.si.edu/,2026-09-23
22-028,Social Security Administration,,28,32,0,1,33,35,https://www.ssa.gov/,2026-09-23
22-026,Surface Transportation Board,,9,9,0,0,9,12,https://www.stb.gov/,2026-09-23
22-044,Tennessee Valley Authority,,46,40,0,9,49,0,https://www.fec.gov/,2026-09-23
22-099,U.S. AbilityOne Commission,,1,1,0,0,1,10,,2026-09-23
22-078,U.S. Commission for the Preservation of America's Heritage Abroad,,2,2,0,0,2,9,https://www.heritageabroad.gov/,2026-09-23
22-069,U.S. Election Assistance Commission,,18,19,0,0,19,28,https://www.eac.gov/,2026-09-23
22-059,U.S. International Development Finance Corporation,,19,17,0,2,19,25,https://www.dfc.gov/,2026-09-23
22-076,U.S. Office of Special Counsel,,4,4,0,0,4,5,https://osc.gov/,2026-09-23
22-047,United States Access Board,,1,0,0,1,1,4,https://www.access-board.gov/,2026-09-23
22-054,United States Agency for Global Media,,6,2,0,4,6,8,https://www.usagm.gov/,2026-09-23
22-058,United States Agency for International Development,,15,16,0,2,18,30,https://www.usaid.gov/,2026-09-23
22-071,United States Capitol Police,,2,2,0,0,2,7,https://www.uscp.gov/,2026-09-23
22-049,United States Commission on Civil Rights,,1,1,0,0,1,8,https://www.usccr.gov/,2026-09-23
22-038,United States Equal Employment Opportunity Commission,,5,4,0,1,5,12,https://www.eeoc.gov/,2026-09-23
22-057,United States House of Representatives,,1,1,0,0,1,0,https://www.house.gov/,2026-09-23
22-065,United States International Trade Commission,,18,18,0,0,18,24,https://www.usitc.gov/,2026-09-23
22-077,United States Office of Government Ethics,,4,4,0,0,4,12,https://www.oge.gov/,2026-09-23
22-041,United States Postal Service,,1,1,0,0,1,5,https://www.usps.com/,2026-09-23
22-020,United States Securities and Exchange Commission,,27,28,0,2,30,38,https://www.sec.gov/,2026-09-23
22-053,United States Trade and Development Agency,,4,5,0,0,5,6,https://www.ustda.gov/,2026-09-23
22-060,Universal Service Administrative Company,,13,16,0,0,16,22,https://www.usac.org/,2026-09-23
