domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
samrdvrh8knp.sam.gov,Yes,Yes,1,1,2025-05-17T00:00:00,2026-05-19T23:59:59,18467665259,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
samrdvrh8pgs03.sam.gov,Yes,Yes,2,2,2025-04-17T15:21:38,2026-05-15T23:59:59,17906067689;18445797796,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2;C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
samuatrh8api.sam.gov,Yes,Yes,1,1,2025-05-17T00:00:00,2026-05-19T23:59:59,18468031792,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
samuatrh8jba.sam.gov,Yes,Yes,1,1,2025-05-17T00:00:00,2026-05-19T23:59:59,18467693175,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
samuatrh8knc.sam.gov,Yes,Yes,1,1,2025-05-17T00:00:00,2026-05-19T23:59:59,18467490491,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
samuatrh8knp.sam.gov,Yes,Yes,1,1,2025-05-17T00:00:00,2026-05-19T23:59:59,18467414631,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
samuatrh8pgs01.sam.gov,Yes,Yes,2,2,2025-04-17T15:09:16,2026-05-15T23:59:59,18445834242;17905919332,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2;C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
samudvrh8api.sam.gov,Yes,Yes,1,1,2025-05-12T00:00:00,2026-05-11T23:59:59,18361563719,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
samudvrh8jba.sam.gov,Yes,Yes,1,1,2025-05-12T00:00:00,2026-05-11T23:59:59,18361581713,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
samudvrh8knc.sam.gov,Yes,Yes,1,1,2025-05-12T00:00:00,2026-05-11T23:59:59,18361600523,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
samudvrh8knp.sam.gov,Yes,Yes,1,1,2025-05-12T00:00:00,2026-05-11T23:59:59,18361618749,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
samudvrh8pgs01.sam.gov,Yes,Yes,2,2,2025-04-17T15:06:41,2026-05-15T23:59:59,18445725118;17905891123,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2;C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
samuinrh8api.sam.gov,Yes,Yes,2,1,2025-05-05T00:00:00,2026-05-04T23:59:59,18235220189;18235218119,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
samuinrh8jba.sam.gov,Yes,Yes,1,1,2025-05-02T00:00:00,2026-05-01T23:59:59,18183848152,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
samuinrh8knc.sam.gov,Yes,Yes,3,2,2025-01-03T15:18:26,2026-05-19T23:59:59,15996955429;16052874048;18467386526,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2;C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
samuinrh8knp.sam.gov,Yes,Yes,4,2,2025-01-03T15:20:09,2026-05-19T23:59:59,15996986275;15996985799;18467265392;16052905867,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2;C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
samuinrh8pgs02.sam.gov,Yes,Yes,2,2,2025-04-17T15:13:44,2026-05-15T23:59:59,17905981215;18445621229,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2;C=US, O=SSL Corporation, CN=Entrust OV TLS Issuing RSA CA 1"
samutetl01.sam.gov,No,Yes,2,2,2024-11-06T16:19:42,2026-05-18T23:59:59,15238942141;18503593345,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2;C=US, O=""Entrust, Inc."", OU=See www.entrust.net/legal-terms, OU=""(c) 2012 Entrust, Inc. - for authorized use only"", CN=Entrust Certification Authority - L1K"
samutetl02.sam.gov,No,Yes,2,2,2024-11-06T16:19:42,2026-05-18T23:59:59,15238942141;18503593345,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2;C=US, O=""Entrust, Inc."", OU=See www.entrust.net/legal-terms, OU=""(c) 2012 Entrust, Inc. - for authorized use only"", CN=Entrust Certification Authority - L1K"
